Date,Open,High,Low,Close,Volume
2020-01-01,137.45401188473625,141.56514605468473,98.42754576637188,101.01311840277434,8610
2020-01-02,195.07143064099162,199.51855840957498,160.23747973689137,163.60960464095422,2993
2020-01-03,173.19939418114052,197.09414465713508,169.1767900443051,191.32869475762368,1869
2020-01-06,159.86584841970367,171.09075451862418,159.35360545566053,161.25734683448192,2014
2020-01-07,115.60186404424365,189.7858721109921,110.6367098219376,187.36985934663448,1602
2020-01-08,115.59945203362027,179.2101266519337,114.36626712286734,172.39730554660937,1690
2020-01-09,105.80836121681995,119.21568857578626,101.79865794993643,112.05584164036902,9685
2020-01-10,186.6176145774935,196.31857489651483,183.11051669757265,190.24533072858418,1489
2020-01-13,160.1115011743209,160.99728457068733,98.91598360131246,106.64438443557749,7864
2020-01-14,170.80725777960456,177.57598053788033,145.36504213844907,153.3967472547764,8240
2020-01-15,102.05844942958025,114.85465948970752,100.52432060568937,114.21371237934576,8786
2020-01-16,196.99098521619942,202.9524117116984,97.50514919929813,101.1706610730904,9024
2020-01-17,183.24426408004217,190.6400758522596,138.46989440244556,142.20342601276388,1294
2020-01-20,121.23391106782762,131.61376967161513,119.71980662846677,129.50407076541563,6488
2020-01-21,118.18249672071006,157.01626945518802,110.19796167019815,148.6000493797603,5027
2020-01-22,118.34045098534338,158.02352672878513,111.26816770198914,157.71998867345508,3912
2020-01-23,130.42422429595376,138.86235293253682,102.47008936792439,104.37390723089473,5744
2020-01-24,152.4756431632238,157.07893366965143,108.63311042643657,112.30032951237456,2873
2020-01-27,143.1945018642116,158.040119044359,142.13645161564645,155.86423964504255,4258
2020-01-28,129.1229140198042,135.6545167672055,122.84084804887377,134.31673531726582,3817
2020-01-29,161.18528947223794,182.4504204307685,159.97157022675174,172.91734875494478,9636
2020-01-30,113.94938606520418,165.95582073500555,104.090044378955,165.229164859194,4641
2020-01-31,129.2144648535218,186.55137049834994,121.40764410664318,184.56043629899068,5458
